session_id,frame_idx,timestamp,dist_raw,dist_norm,velocity,accel,hand_conf,label
replay1,311,10.7629,129.9843,0.504692,-0.008349,-0.005678,0.9939,0
replay1,312,10.7952,129.3944,0.497451,-0.007241,0.001108,0.994,0
replay1,313,10.8313,127.6047,0.490658,-0.006792,0.000449,0.9934,0
replay1,314,10.8624,124.337,0.478161,-0.012497,-0.005705,0.9938,0
replay1,315,10.8854,127.8961,0.490194,0.012032,0.024529,0.9931,1
replay1,316,10.9311,127.7337,0.496154,0.005961,-0.006071,0.9931,1
replay1,317,10.966,129.6781,0.50222,0.006066,0.000106,0.9937,1
replay1,318,10.9965,133.0451,0.523929,0.021708,0.015642,0.9938,1
replay1,319,11.0307,135.3689,0.540042,0.016113,-0.005595,0.9933,1
replay1,320,11.0636,131.2523,0.516761,-0.023281,-0.039394,0.994,1
replay1,321,11.0989,61.1832,0.242475,-0.274286,-0.251005,0.9984,1
replay1,322,11.1321,11.5853,0.048256,-0.194219,0.080066,0.9969,1
replay1,323,11.164,10.5461,0.043777,-0.004479,0.18974,0.9973,1
replay1,324,11.1992,9.6372,0.038845,-0.004932,-0.000453,0.9967,1
replay1,325,11.2318,11.2988,0.043345,0.0045,0.009433,0.9968,1
replay1,326,11.2667,53.9432,0.204162,0.160817,0.156316,0.9965,1
replay1,327,11.2993,100.426,0.368412,0.16425,0.003434,0.9945,1
replay1,328,11.3332,118.1576,0.467715,0.099303,-0.064947,0.9958,1
replay1,329,11.3657,125.8994,0.501896,0.034181,-0.065122,0.9948,1
replay1,330,11.3992,129.3314,0.517267,0.015372,-0.018809,0.9948,1
replay1,331,11.4336,133.0056,0.53535,0.018083,0.002711,0.9952,1
replay1,332,11.4676,127.9898,0.505918,-0.029432,-0.047515,0.9938,1
replay1,333,11.4893,130.7986,0.518649,0.012731,0.042163,0.9948,0
replay1,334,11.5325,131.8162,0.522095,0.003446,-0.009285,0.9941,0
replay1,335,11.5684,131.3143,0.516146,-0.005949,-0.009395,0.9928,0
replay1,336,11.5998,130.0584,0.515503,-0.000642,0.005307,0.9939,0
replay1,337,11.6325,128.7076,0.506228,-0.009275,-0.008633,0.9945,0
replay1,338,11.6678,130.3233,0.515474,0.009246,0.018521,0.9942,0
replay1,339,11.6998,131.5478,0.518555,0.003081,-0.006165,0.9925,0
replay1,340,11.7326,131.1183,0.519007,0.000451,-0.00263,0.9936,0
replay1,341,11.7664,131.307,0.515891,-0.003116,-0.003567,0.9925,0
replay1,342,11.8006,130.6672,0.511212,-0.004679,-0.001564,0.9941,0
replay1,343,11.8328,129.0281,0.504524,-0.006688,-0.002008,0.9938,0
replay1,344,11.8668,128.6999,0.510635,0.006111,0.012799,0.9921,0
replay1,345,11.9012,129.822,0.512719,0.002083,-0.004028,0.9931,0
replay1,346,11.9311,132.0883,0.518314,0.005595,0.003512,0.9934,0
replay1,347,11.9661,129.175,0.509506,-0.008808,-0.014403,0.9942,0
replay1,348,12.0001,130.6222,0.522,0.012493,0.021301,0.9931,0
replay1,349,12.0338,134.0383,0.539238,0.017238,0.004745,0.994,0
replay1,350,12.0683,133.5273,0.525787,-0.013451,-0.030689,0.9933,0
replay1,351,12.1001,132.7951,0.520346,-0.005441,0.008009,0.9937,0
replay1,352,12.1325,134.0169,0.525703,0.005357,0.010799,0.9934,0
replay1,353,12.1664,138.0392,0.553292,0.027588,0.022231,0.9941,0
replay1,354,12.1999,136.1226,0.543532,-0.009759,-0.037348,0.9941,0
replay1,355,12.2288,132.4242,0.525411,-0.018122,-0.008362,0.9941,0
replay1,356,12.2693,131.1551,0.522787,-0.002624,0.015498,0.9927,0
replay1,357,12.3004,132.198,0.524869,0.002082,0.004705,0.9938,0
replay1,358,12.3348,133.2925,0.527752,0.002884,0.000802,0.9935,0
replay1,359,12.3664,131.3607,0.520455,-0.007297,-0.010181,0.9925,0
replay1,360,12.3994,130.1849,0.517223,-0.003233,0.004064,0.993,0
replay1,361,12.4346,130.4723,0.518334,0.001112,0.004344,0.9928,0
replay1,362,12.4659,131.0687,0.51934,0.001006,-0.000106,0.9924,0
replay1,363,12.5015,133.3097,0.526309,0.006969,0.005964,0.9934,0
replay1,364,12.5222,131.9066,0.522079,-0.00423,-0.0112,0.9931,1
replay1,365,12.567,132.5442,0.52584,0.003761,0.007992,0.9933,1
replay1,366,12.6006,134.8945,0.533966,0.008126,0.004364,0.9926,1
replay1,367,12.6326,137.0407,0.537237,0.003271,-0.004855,0.9931,1
replay1,368,12.6665,142.7148,0.556991,0.019754,0.016483,0.9923,1
replay1,369,12.7013,142.2247,0.554937,-0.002054,-0.021808,0.9917,1
replay1,370,12.7329,116.075,0.441539,-0.113398,-0.111344,0.9957,1
replay1,371,12.7663,14.7127,0.06065,-0.380889,-0.267491,0.9956,1
replay1,372,12.8008,21.9053,0.085709,0.025059,0.405948,0.9952,1
replay1,373,12.8326,20.4951,0.07817,-0.00754,-0.032598,0.996,1
replay1,374,12.8673,18.056,0.06854,-0.00963,-0.00209,0.9953,1
replay1,375,12.8989,20.0861,0.075514,0.006974,0.016604,0.9957,1
replay1,376,12.9319,68.4916,0.241257,0.165742,0.158768,0.9944,1
replay1,377,12.9742,104.6353,0.367062,0.125805,-0.039937,0.9914,1
replay1,378,13.0331,122.4022,0.449891,0.082829,-0.042977,0.9953,1
replay1,379,13.0652,121.7625,0.45034,0.00045,-0.082379,0.9958,1
replay1,380,13.102,127.0904,0.466515,0.016174,0.015725,0.996,1
replay1,381,13.1228,124.4773,0.45964,-0.006875,-0.023049,0.9951,0
replay1,382,13.1665,128.7918,0.475304,0.015664,0.022539,0.9954,0
replay1,383,13.2014,123.8853,0.472378,-0.002926,-0.01859,0.9931,0
replay1,384,13.2324,130.0876,0.488909,0.016531,0.019456,0.9926,0
replay1,385,13.2672,124.5591,0.471147,-0.017762,-0.034293,0.9934,0
replay1,386,13.2993,129.8685,0.485897,0.01475,0.032512,0.9937,0
replay1,387,13.3353,122.5018,0.46155,-0.024347,-0.039097,0.9927,0
replay1,388,13.3665,130.838,0.486346,0.024795,0.049142,0.9959,0
replay1,389,13.399,130.0265,0.473567,-0.012779,-0.037574,0.9951,0
replay1,390,13.4349,132.0649,0.494695,0.021128,0.033906,0.995,0
replay1,391,13.4662,132.7248,0.495437,0.000742,-0.020386,0.9949,0
replay1,392,13.4995,131.0508,0.485332,-0.010105,-0.010847,0.9949,0
replay1,393,13.5355,131.0478,0.480161,-0.00517,0.004935,0.9952,0
replay1,394,13.5663,131.2155,0.478678,-0.001483,0.003687,0.9951,0
replay1,395,13.5992,139.2636,0.514898,0.03622,0.037703,0.9943,0
replay1,396,13.6359,132.0696,0.496784,-0.018114,-0.054334,0.9951,0
replay1,397,13.6663,131.4558,0.497821,0.001037,0.019151,0.9956,0
replay1,398,13.6995,129.02,0.478755,-0.019066,-0.020103,0.9946,0
replay1,399,13.7334,127.7981,0.480079,0.001324,0.020391,0.9944,0
replay1,400,13.7683,129.7481,0.497835,0.017756,0.016431,0.9957,0
replay1,401,13.7994,127.891,0.489876,-0.007959,-0.025715,0.9945,0
replay1,402,13.8336,130.2912,0.509956,0.02008,0.028039,0.9949,0
replay1,403,13.8667,128.8693,0.482513,-0.027444,-0.047524,0.9952,0
replay1,404,13.9015,129.7026,0.487439,0.004926,0.03237,0.9953,0
replay1,405,13.9338,129.6981,0.495063,0.007624,0.002698,0.9953,0
replay1,406,13.9657,128.8654,0.485352,-0.009712,-0.017336,0.9937,0
replay1,407,14.0015,131.6708,0.501305,0.015953,0.025665,0.9946,0
replay1,408,14.0321,130.6674,0.493801,-0.007504,-0.023458,0.9937,0
replay1,409,14.0672,130.5963,0.49449,0.000689,0.008194,0.9941,0
replay1,410,14.1039,130.2863,0.518252,0.023763,0.023073,0.995,0
replay1,411,14.1331,130.2827,0.491088,-0.027165,-0.050927,0.9947,0
replay1,412,14.1669,124.924,0.473213,-0.017874,0.00929,0.9945,0
replay1,413,14.1992,123.2188,0.462512,-0.010701,0.007173,0.9943,0
replay1,414,14.2336,125.6384,0.474096,0.011583,0.022284,0.9944,0
replay1,415,14.2684,121.4767,0.460023,-0.014073,-0.025656,0.9939,0
replay1,416,14.2998,123.3013,0.466063,0.006041,0.020114,0.9942,0
